test_id,architecture,endpoint,query_type,top_k,retrieved_docs,relevant_docs,input_tokens,output_tokens,retrieval_ms,llm_ms,total_ms,status_code,recall_at_k,precision_at_k,mrr,ndcg_at_k,correctness,faithfulness,hallucination_rate
Q044,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,5,Rapporto OPIS 2024 - Civile e Ambientale.md;Analisi Dashboard AlmaLaurea - Civile Ambientale triennale.md;Rapporto OPIS 2024 - Civile Magistrale.md;Rapporto AlmaLaurea 2024 - Design.md,Almalaurea/triennale/scheda_ICIVAMB.md;Recensioni Studenti/triennale/report_ICIVAMB.md,1376,196,6.35,3556.22,3562.58,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q045,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,5,Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,Almalaurea/triennale/scheda_ARCH.md,3131,142,6.0,4044.93,4050.94,200,0.0,0.0,0.0,0.0,0.3333,1.0,0.0
Q061,B_Selective_Retrieval,/recommend,course_advisor,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2415,568,5.81,13760.25,13766.06,200,1.0,0.2,1.0,1.0,0.6667,1.0,0.0
Q062,B_Selective_Retrieval,/recommend,course_advisor,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2416,572,6.51,10993.76,11000.27,200,1.0,0.2,1.0,1.0,0.6667,1.0,0.0
Q063,B_Selective_Retrieval,/recommend,course_advisor,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2377,564,6.18,21598.33,21604.52,200,1.0,0.2,1.0,1.0,0.6667,1.0,0.0
Q064,B_Selective_Retrieval,/recommend,course_advisor,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2348,642,6.15,20362.26,20368.4,200,1.0,0.2,1.0,1.0,0.6667,1.0,0.0
Q065,B_Selective_Retrieval,/recommend,course_advisor,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2411,586,5.53,10386.6,10392.13,200,1.0,0.2,1.0,1.0,0.6667,1.0,0.0
Q081,B_Selective_Retrieval,/chat,campus_navigation,5,,mappe_db,0,0,0.0,0.0,0.01,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q082,B_Selective_Retrieval,/chat,campus_navigation,5,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.3333,0.8,0.2
Q083,B_Selective_Retrieval,/chat,campus_navigation,5,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q084,B_Selective_Retrieval,/chat,campus_navigation,5,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q085,B_Selective_Retrieval,/chat,campus_navigation,5,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q091,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,,1035,61,5.08,2003.49,2008.58,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q092,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,,1175,83,4.81,1145.08,1149.9,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q093,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,,1418,87,4.95,3191.97,3196.93,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q094,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,,1064,34,5.01,2183.56,2188.58,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q095,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md,,2355,85,6.2,2705.67,2711.88,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q001,B_Selective_Retrieval,/chat,single_doc,10,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,10737,230,5.48,4748.64,4754.13,200,1.0,0.1,1.0,1.0,0.3333,1.0,0.0
Q002,B_Selective_Retrieval,/chat,single_doc,10,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,10021,599,6.44,6727.93,6734.38,200,1.0,0.1,1.0,1.0,1.0,1.0,0.0
Q003,B_Selective_Retrieval,/chat,single_doc,10,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,9885,247,5.2,6449.98,6455.19,200,1.0,0.1,1.0,1.0,1.0,1.0,0.0
Q004,B_Selective_Retrieval,/chat,single_doc,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso_meta.json,bando_erasmus.pdf,2766,29,4.81,3029.88,3034.7,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q005,B_Selective_Retrieval,/chat,single_doc,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,bando_erasmus.pdf,4890,96,5.84,2670.62,2676.47,200,0.0,0.0,0.0,0.0,0.0,0.8,0.2
Q021,B_Selective_Retrieval,/chat,multi_doc,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Gestionale Magistrale.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md;Analisi Dashboard AlmaLaurea - Gestionale triennale.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,2987,1029,5.91,16190.63,16196.55,200,0.3333,0.1,1.0,0.4693,0.3333,1.0,0.0
Q022,B_Selective_Retrieval,/chat,multi_doc,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Informatica.md,bando_erasmus.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2277,284,6.18,5918.41,5924.6,200,0.5,0.1,1.0,0.6131,0.0,0.8,0.2
Q023,B_Selective_Retrieval,/chat,multi_doc,10,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,6580,567,8.89,9375.71,9384.61,200,1.0,0.2,1.0,1.0,0.3333,1.0,0.0
Q024,B_Selective_Retrieval,/chat,multi_doc,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso_meta.json,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,3380,134,6.05,5470.83,5476.89,200,1.0,0.2,1.0,1.0,0.0,0.8,0.2
Q025,B_Selective_Retrieval,/chat,multi_doc,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Gestionale Magistrale.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md;Analisi Dashboard AlmaLaurea - Gestionale triennale.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,2987,1132,6.12,13995.76,14001.88,200,0.3333,0.1,1.0,0.4693,0.0,1.0,0.0
Q041,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,10,Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Dashboard AlmaLaurea - Elettrica triennale.md,Almalaurea/triennale/scheda_IGEST.md,5728,88,6.43,4042.77,4049.21,200,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Q042,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,10,Rapporto OPIS 2023 - Meccanica.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Meccanica triennale.md;Analisi Dashboard AlmaLaurea - Meccanica magistrale.md;Analisi Dashboard AlmaLaurea - Civile Ambientale triennale.md;Analisi Dashboard AlmaLaurea - Aereospaziale triennale.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md;Analisi Dashboard AlmaLaurea - Elettrica triennale.md;Analisi Dashboard AlmaLaurea - Elettronica IT triennale.md,Almalaurea/triennale/scheda_IMEC.md;Recensioni Studenti/triennale/report_IMEC.md,3431,292,5.35,5063.01,5068.37,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q043,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,10,Analisi Dashboard AlmaLaurea - Elettronica IT triennale.md;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md;Analisi Dashboard AlmaLaurea - Electronics magistrale.md,Almalaurea/triennale/scheda_IETI.md,5492,58,6.46,4629.01,4635.49,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q044,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,10,Rapporto OPIS 2024 - Civile e Ambientale.md;Analisi Dashboard AlmaLaurea - Civile Ambientale triennale.md;Rapporto OPIS 2024 - Civile Magistrale.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Ambientale magistrale.md;Analisi Dashboard AlmaLaurea - Civile magistrale.md;Analisi Dashboard AlmaLaurea - Aereospaziale triennale.md;Rapporto OPIS 2024 - Costruzioni.md,Almalaurea/triennale/scheda_ICIVAMB.md;Recensioni Studenti/triennale/report_ICIVAMB.md,2836,169,5.59,4328.12,4333.73,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q045,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,10,Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Dashboard AlmaLaurea - Elettrica triennale.md;Analisi Dashboard AlmaLaurea - Architettura magistrale.md,Almalaurea/triennale/scheda_ARCH.md,5291,36,6.2,1687.56,1693.77,200,0.0,0.0,0.0,0.0,0.3333,1.0,0.0
Q061,B_Selective_Retrieval,/recommend,course_advisor,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2415,654,5.99,14161.72,14167.71,200,1.0,0.1,1.0,1.0,0.6667,1.0,0.0
Q062,B_Selective_Retrieval,/recommend,course_advisor,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2416,563,6.62,9020.89,9027.51,200,1.0,0.1,1.0,1.0,0.6667,1.0,0.0
Q063,B_Selective_Retrieval,/recommend,course_advisor,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2377,553,5.77,18623.21,18628.98,200,1.0,0.1,1.0,1.0,0.6667,1.0,0.0
Q064,B_Selective_Retrieval,/recommend,course_advisor,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2348,653,6.71,13766.89,13773.6,200,1.0,0.1,1.0,1.0,0.6667,1.0,0.0
